region,group,sens,esp,ppv,npv
w413,C1,62.585034013605444,91.7229168972004,42.46153846153846,96.17124956491472
w413,C2,65.04263093788063,91.58056715761705,41.07692307692308,96.67014734888038
w413,C3,54.29726996966633,91.45576707726764,41.30769230769231,94.75577213133775
w413,C4,56.04060913705584,91.62749048578465,42.46153846153846,94.97621533820629
w413,C5,64.64646464646465,91.36627588473759,39.38461538461539,96.75136326720038
w413,C6,62.69744835965978,91.38082673702726,39.69230769230769,96.43810186796613
w413,C7,59.78378378378378,91.69446297531688,42.53846153846153,95.68395405499479
w413,C8,57.82092772384034,91.50355871886121,41.23076923076923,95.46351084812623
w413,C9,57.27848101265823,91.56169880726786,41.76923076923077,95.30107901148625
w413,C10,59.885714285714286,91.41972578505087,40.30769230769231,95.92760180995475
w413,C11,62.24156692056583,91.91111111111111,44,95.97401090613761
w413,C12,57.801766437684,92.01123595505618,45.30769230769231,95.01102216034343
w413,C13,55.52208835341366,91.62837610669058,42.53846153846153,94.86019259774916
w413,C14,51.91256830601093,91.72429429769868,43.84615384615385,93.87399930386356
w413,C15,56.48535564853556,91.52069619547026,41.53846153846154,95.1734539969834
w413,C16,58.06100217864923,91.47872458615709,41,95.53312449240052
w413,C17,58.91891891891892,91.6055147876362,41.92307692307693,95.59113586262907
w413,C18,59.301014656144304,91.43046944198406,40.46153846153846,95.81157906949763
w413,C19,58.7434554973822,91.75591253904507,43.15384615384615,95.42870402598909
w413,C20,55.7157569515963,91.5176575771122,41.61538461538461,95.01102216034343
w413,C21,66.26180836707152,91.18544345173241,37.769230769230774,97.09943148857177
w413,C22,59.188275084554675,91.41939769707706,40.38461538461539,95.79997679545191
w413,C23,54.96417604912999,91.46723328114516,41.30769230769231,94.89499941988629
w413,C24,60.12207527975585,92.06580125335721,45.46153846153846,95.45190857408052
w413,C25,56.311745334796925,91.26332149200711,39.46153846153846,95.38229492980625
w413,MEAN,58.86519751418157,91.57193921197647,41.68,95.56143404107205
w413,SD,3.54177446774656,0.21288244929480685,1.8060112205076695,0.7147813804062464
