region,group,sens,esp,ppv,npv
w79,C1,63.76146788990825,94.43356355014947,20.471281296023562,99.14502164502164
w79,C2,76.64670658682635,94.3498769483183,18.851251840942563,99.57792207792208
w79,C3,68.83116883116884,94.63253509496285,23.416789396170838,99.22077922077922
w79,C4,63.39285714285714,94.46106240330067,20.913107511045656,99.11255411255411
w79,C5,65.51724137931035,94.55971921131413,22.385861561119295,99.13419913419914
w79,C6,68.0365296803653,94.5360824742268,21.944035346097202,99.24242424242425
w79,C7,69.48356807511738,94.5291572223367,21.79675994108984,99.2965367965368
w79,C8,71.35416666666666,94.42788115554642,20.176730486008836,99.40476190476191
w79,C9,62.980769230769226,94.35691483884256,19.293078055964656,99.16666666666667
w79,C10,70.64676616915423,94.47417164025521,20.913107511045656,99.36147186147186
w79,C11,69.95515695067265,94.60602310231023,22.97496318114875,99.27489177489177
w79,C12,73.45971563981043,94.6023897816234,22.827687776141385,99.39393939393939
w79,C13,55.18518518518518,94.50720281894498,21.944035346097202,98.69047619047619
w79,C14,57.55395683453237,94.61674100197075,23.5640648011782,98.72294372294373
w79,C15,60.86956521739131,94.43699040148623,20.618556701030926,99.02597402597402
w79,C16,69.31216931216932,94.36793422404934,19.293078055964656,99.37229437229436
w79,C17,69.1358024691358,94.18878753715282,16.49484536082474,99.45887445887446
w79,C18,63.60294117647059,94.75484606613455,25.47864506627393,98.92857142857143
w79,C19,58.849557522123895,94.3670690188796,19.587628865979383,98.99350649350649
w79,C20,67.24137931034483,94.6010116651182,22.97496318114875,99.17748917748918
w79,C21,66.66666666666666,94.39185017493311,19.734904270986746,99.27489177489177
w79,C22,68.0327868852459,94.69767441860465,24.447717231222384,99.15584415584415
w79,C23,68.52589641434263,94.75589573851883,25.331369661266567,99.14502164502164
w79,C24,65.81632653061224,94.3433096780829,18.998527245949926,99.27489177489177
w79,C25,63.13131313131313,94.30099783972842,18.409425625920473,99.20995670995671
w79,MEAN,66.31958643592642,94.49198752027165,21.313696612665684,99.19047619047619
w79,SD,4.961774677190289,0.14482541240461308,2.2574970552412035,0.20683457633784
