region,group,sens,esp,ppv,npv
wroiAD,C1,56.8075117370892,94.27999578636891,30.828025477707005,97.98554850010947
wroiAD,C2,59.114583333333336,94.14787624541164,28.9171974522293,98.28114736150646
wroiAD,C3,57.17488789237668,94.40515148316267,32.48407643312102,97.90891175826582
wroiAD,C4,53.28798185941043,94.19708799324752,29.936305732484076,97.74469016860084
wroiAD,C5,55.55555555555556,94.34998415883409,31.84713375796178,97.81037880446682
wroiAD,C6,54.08653846153846,94.1071240660844,28.662420382165603,97.90891175826582
wroiAD,C7,62.182741116751274,94.33070866141732,31.210191082802545,98.36873220932779
wroiAD,C8,66.00985221674877,94.56533165142437,34.14012738853503,98.48916137508212
wroiAD,C9,58.41836734693877,94.16395507504986,29.17197452229299,98.21545872564046
wroiAD,C10,63.67713004484305,94.71128470389529,36.17834394904458,98.22640683161814
wroiAD,C11,55.06607929515418,94.34759640781827,31.84713375796178,97.76658638055616
wroiAD,C12,61.51960784313726,94.38544842813585,31.97452229299363,98.28114736150646
wroiAD,C13,56.06936416184971,94.74468085106383,37.07006369426751,97.50383183709218
wroiAD,C14,57.276119402985074,94.90568048598529,39.10828025477707,97.49288373111452
wroiAD,C15,61.098398169336384,94.5370175068551,34.01273885350318,98.1388219837968
wroiAD,C16,63.44086021505376,94.24950246150622,30.063694267515924,98.51105758703744
wroiAD,C17,66.08695652173913,94.18216001671192,29.044585987261147,98.71907160061309
wroiAD,C18,50.5175983436853,94.26663840610429,31.0828025477707,97.38340267133786
wroiAD,C19,56.26598465473146,94.07010915197314,28.02547770700637,98.12787387781914
wroiAD,C20,58.22510822510822,94.54372422544147,34.267515923566876,97.88701554631048
wroiAD,C21,59.89717223650386,94.20776495278069,29.68152866242038,98.29209546748413
wroiAD,C22,56.76229508196722,94.6135086417135,35.28662420382165,97.6899496387125
wroiAD,C23,60.24844720496895,94.76473081814328,37.07006369426751,97.89796365228815
wroiAD,C24,55.04087193460491,93.89656616415411,25.73248407643312,98.19356251368512
wroiAD,C25,58.69565217391305,94.2977380326144,30.955414012738853,98.12787387781914
wroiAD,MEAN,58.50102660117296,94.3708546550359,31.943949044585985,98.03809940880228
wroiAD,SD,3.8887691079067332,0.24698642403406207,3.2528340850253263,0.3368359364828188
