region,group,sens,esp,ppv,npv
wroiAD,C1,35.91549295774648,95.08058569472243,24.677419354838708,97.06420045166146
wroiAD,C2,39.0625,95.07079181961196,24.193548387096776,97.48360038713841
wroiAD,C3,36.99551569506727,95.19687532988493,26.61290322580645,96.97816969566621
wroiAD,C4,33.10657596371882,94.99894492508967,23.548387096774192,96.82761587267447
wroiAD,C5,34,95.06811701341219,24.677419354838708,96.80610818367566
wroiAD,C6,30.76923076923077,94.82268757234557,20.64516129032258,96.90289278417033
wroiAD,C7,39.08629441624365,95.10761154855642,24.838709677419356,97.41907732014195
wroiAD,C8,45.073891625615765,95.40628613476295,29.516129032258064,97.60189267663189
wroiAD,C9,37.755102040816325,95.04565970399916,23.870967741935484,97.37606194214432
wroiAD,C10,44.17040358744394,95.53467750448644,31.774193548387096,97.32229271964728
wroiAD,C11,35.68281938325991,95.16111991547808,26.129032258064516,96.85987740617271
wroiAD,C12,40.44117647058824,95.21606560824308,26.61290322580645,97.38681578664372
wroiAD,C13,38.921001926782274,95.5531914893617,32.58064516129032,96.5910312936875
wroiAD,C14,38.61940298507462,95.59842267931366,33.387096774193544,96.46198515969459
wroiAD,C15,40.96109839816934,95.3490824720523,28.870967741935484,97.2255081191526
wroiAD,C16,42.473118279569896,95.1607834921965,25.483870967741932,97.69867727712658
wroiAD,C17,44.05797101449275,95.11176101942762,24.516129032258064,97.92450801161415
wroiAD,C18,32.091097308488614,95.07206443408224,25,96.472739004194
wroiAD,C19,35.0383631713555,94.93073047858942,22.096774193548388,97.26852349715023
wroiAD,C20,35.93073593073593,95.1993232526171,26.7741935483871,96.81686202817508
wroiAD,C21,33.41902313624679,94.85834207764952,20.967741935483872,97.21475427465319
wroiAD,C22,34.83606557377049,95.22850174954935,27.419354838709676,96.58027744918809
wroiAD,C23,37.267080745341616,95.33700720644342,29.03225806451613,96.7415851166792
wroiAD,C24,34.332425068119896,94.82830820770519,20.32258064516129,97.40832347564255
wroiAD,C25,36.473429951690825,95.06575486586007,24.35483870967742,97.17173889665555
wroiAD,MEAN,37.45919265598279,95.16010784781764,25.916129032258063,97.10420475319927
wroiAD,SD,3.8409741780198097,0.2117829562274642,3.4792008722805035,0.39346581498541705
