region,group,sens,esp,ppv,npv
wroiAD,C1,0,99.75155279503105,0,97.38251642243557
wroiAD,C2,0,99.75262832405689,0,97.80697321879738
wroiAD,C3,0,99.74939960321603,0,96.54370894391107
wroiAD,C4,0,99.7497393117831,0,96.67508842849925
wroiAD,C5,0,99.74908520648196,0,96.42243557352198
wroiAD,C6,0,99.75067525451901,0,97.03890853966651
wroiAD,C7,0,99.75221969853396,0,97.64527539161193
wroiAD,C8,0,99.7514241325738,0,97.33198585144012
wroiAD,C9,0,99.75155279503105,0,97.38251642243557
wroiAD,C10,0,99.75178405212534,0,97.4734714502274
wroiAD,C11,0,99.751166407465,0,97.23092470944921
wroiAD,C12,0,99.75257731958763,0,97.78676099039919
wroiAD,C13,0,99.75018215884252,0,96.84689236988378
wroiAD,C14,0,99.75103734439834,0,97.18039413845376
wroiAD,C15,0,99.75178405212534,0,97.4734714502274
wroiAD,C16,0,99.75273026993612,0,97.84739767559374
wroiAD,C17,0,99.7528066742198,0,97.87771601819101
wroiAD,C18,0,99.7503380838448,0,96.90752905507833
wroiAD,C19,0,99.75031210986268,0,96.89742294087922
wroiAD,C20,0,99.75160422272822,0,97.40272865083377
wroiAD,C21,0,99.75191234236097,0,97.52400202122284
wroiAD,C22,0,99.74776668418286,0,95.91712986356747
wroiAD,C23,0,99.74994790581371,0,96.75593734209197
wroiAD,C24,0,99.7512695616126,0,97.27134916624559
wroiAD,C25,0,99.75046787273861,0,96.95805962607378
wroiAD,MEAN,0,99.75103856732285,0,97.18322385042951
wroiAD,SD,0,0.0012502428717583501,0,0.4877052675367851
