region,group,sens,esp,ppv,npv
wroiAD,C1,30.888030888030887,91.5527950310559,8.928571428571429,98.01618087110717
wroiAD,C2,35.02304147465438,91.54813440527725,8.482142857142858,98.43732683143078
wroiAD,C3,25.146198830409354,91.54223660854129,9.598214285714286,97.16280616203036
wroiAD,C4,27.35562310030395,91.5954118873827,10.044642857142858,97.35121356533304
wroiAD,C5,22.88135593220339,91.47935180345009,9.040178571428571,96.9743987587277
wroiAD,C6,26.621160409556317,91.50218159152296,8.705357142857142,97.61720048764269
wroiAD,C7,29.184549356223176,91.45157959942185,7.5892857142857135,98.17133990912113
wroiAD,C8,27.27272727272727,91.46556188503367,8.035714285714286,97.87210462152277
wroiAD,C9,27.413127413127413,91.45962732919256,7.924107142857142,97.91643577524106
wroiAD,C10,26.8,91.4262074671631,7.477678571428571,97.97184971738889
wroiAD,C11,25.91240875912409,91.44634525660965,7.924107142857142,97.75019394879752
wroiAD,C12,30.136986301369863,91.44329896907216,7.366071428571429,98.30433337027597
wroiAD,C13,26.923076923076923,91.54782970750495,9.375,97.47312423805829
wroiAD,C14,28.31541218637993,91.52489626556016,8.816964285714286,97.78344231408622
wroiAD,C15,32.4,91.57100010342332,9.040178571428571,98.12700875540285
wroiAD,C16,38.028169014084504,91.60313208324747,9.040178571428571,98.5370719272969
wroiAD,C17,36.666666666666664,91.56452775775054,8.59375,98.52598913886735
wroiAD,C18,30.065359477124183,91.63632580880058,10.267857142857142,97.62828327607225
wroiAD,C19,25.732899022801302,91.50020807324178,8.816964285714286,97.47312423805829
wroiAD,C20,29.961089494163424,91.52349410060029,8.59375,98.0050980826776
wroiAD,C21,28.163265306122447,91.45131279718835,7.700892857142858,98.04942923639588
wroiAD,C22,24.504950495049506,91.62375197057277,11.049107142857142,96.61974952898149
wroiAD,C23,27.102803738317753,91.57116065847052,9.709821428571429,97.40662750748088
wroiAD,C24,32.592592592592595,91.62607524095762,9.821428571428571,97.98293250581847
wroiAD,C25,27.906976744186046,91.55749636098982,9.375,97.59503491078355
wroiAD,MEAN,28.919938855931814,91.52855771048125,8.852678571428571,97.79009198714397
wroiAD,SD,3.7053026429881335,0.06343261885033809,0.9319474885346569,0.4727646138710279
