region,group,sens,esp,ppv,npv
w79,C1,0,99.67356931551565,0,98.82674218670982
w79,C2,0,99.67433340118053,0,99.05937089106908
w79,C3,0,99.67310246194708,0,98.68514210579549
w79,C4,0,99.67216473721955,0,98.40194194396682
w79,C5,0,99.67112024665981,0,98.08839890765651
w79,C6,0,99.67273471057476,0,98.5738848993628
w79,C7,0,99.67323598488717,0,98.72559927177102
w79,C8,0,99.67266775777414,0,98.55365631637504
w79,C9,0,99.67320261437908,0,98.71548498027714
w79,C10,0,99.67300224810954,0,98.65479923131385
w79,C11,0,99.67306906416019,0,98.67502781430161
w79,C12,0,99.67333605553287,0,98.75594214625265
w79,C13,0,99.67223189593362,0,98.42217052695459
w79,C14,0,99.67236613084877,0,98.4626276929301
w79,C15,0,99.67286853404211,0,98.61434206533832
w79,C16,0,99.67506092607637,0,99.28188530393446
w79,C17,0,99.67479674796748,0,99.20097097198341
w79,C18,0,99.67216473721955,0,98.40194194396682
w79,C19,0,99.67239967239966,0,98.47274198442399
w79,C20,0,99.67290197280998,0,98.6244563568322
w79,C21,0,99.67403483752673,0,98.96834226762415
w79,C22,0,99.6701030927835,0,97.7849701628401
w79,C23,0,99.67229902713774,0,98.44239910994234
w79,C24,0,99.67380224260958,0,98.897542227167
w79,C25,0,99.67216473721955,0,98.40194194396682
w79,MEAN,0,99.6729093261006,0,98.62769293011024
w79,SD,0,0.001068125431239776,0,0.32286248528603534
