region,group,sens,esp,ppv,npv
w413,C1,0,100,NA,91.10797459421313
w413,C2,0,100,NA,91.72295594313943
w413,C3,0,100,NA,90.02923681822764
w413,C4,0,100,NA,90.06956346405887
w413,C5,0,100,NA,92.01532412541586
w413,C6,0,100,NA,91.70279262022382
w413,C7,0,100,NA,90.67446315152738
w413,C8,0,100,NA,90.65429982861176
w413,C9,0,100,NA,90.44258493799778
w413,C10,0,100,NA,91.17854622441779
w413,C11,0,100,NA,90.73495312027421
w413,C12,0,100,NA,89.7267869744934
w413,C13,0,100,NA,89.95866518802299
w413,C14,0,100,NA,88.93033571932655
w413,C15,0,100,NA,90.36193164633531
w413,C16,0,100,NA,90.74503478173203
w413,C17,0,100,NA,90.67446315152738
w413,C18,0,100,NA,91.05756628692409
w413,C19,0,100,NA,90.37201330779313
w413,C20,0,100,NA,90.2107067244682
w413,C21,0,100,NA,92.52948885976409
w413,C22,0,100,NA,91.05756628692409
w413,C23,0,100,NA,90.15021675572135
w413,C24,0,100,NA,90.0897267869745
w413,C25,0,100,NA,90.81560641193668
w413,MEAN,0,100,NA,90.68051214840206
w413,SD,0,0,NA,0.7764461240239349
