region,group,sens,esp,ppv,npv
w413,C1,67.68707482993197,90.12946774372026,40.094022834116856,96.61921708185054
w413,C2,72.95980511571256,90.21763024840624,40.22834116856951,97.36654804270462
w413,C3,62.89180990899899,90.29115341545352,41.77300201477502,95.64650059311981
w413,C4,65.88832487309645,90.5977165883143,43.58629952988583,96.01423487544484
w413,C5,74.11616161616162,90.11723457872247,39.422431161853595,97.56820877817319
w413,C6,71.68894289185906,90.11653474054529,39.62390866353257,97.23606168446027
w413,C7,67.35135135135135,90.37135868356683,41.840161182001346,96.41755634638197
w413,C8,63.96979503775621,90.0355871886121,39.825386165211555,96.0379596678529
w413,C9,66.56118143459916,90.43584884628247,42.37743451981195,96.23962040332147
w413,C10,68.91428571428571,90.20344980097302,40.496977837474816,96.77342823250297
w413,C11,71.59956474428726,90.76666666666667,44.19073203492277,96.90391459074733
w413,C12,65.16192345436703,90.73033707865169,44.59368703828073,95.7888493475682
w413,C13,64.85943775100401,90.55250476297209,43.38482202820685,95.84816132858838
w413,C14,59.83606557377049,90.56796281600725,44.123572867696446,94.76868327402134
w413,C15,64.85355648535564,90.30458551824167,41.638683680322366,96.01423487544484
w413,C16,65.68627450980392,90.1566492611932,40.496977837474816,96.26334519572953
w413,C17,64.75675675675676,90.1045141205248,40.22834116856951,96.13285883748517
w413,C18,63.81059751972943,89.78077945084145,38.012088650100736,96.19217081850535
w413,C19,64.29319371727749,90.23873270861222,41.235728676964406,95.95492289442468
w413,C20,63.027806385169924,90.1989271345552,41.10141034251175,95.74139976275208
w413,C21,70.17543859649122,89.44214425800828,34.922766957689724,97.37841043890866
w413,C22,67.64374295377678,90.15721877767936,40.295500335795836,96.59549228944246
w413,C23,63.97134083930399,90.3377320509953,41.974479516454,95.82443653618031
w413,C24,67.24313326551373,90.73410922112802,44.39220953660175,96.18030842230131
w413,C25,63.22722283205269,89.8645648312611,38.683680322364,96.02609727164887
w413,MEAN,66.48699152633654,90.25813641967738,41.14170584284755,96.30130486358244
w413,SD,3.4902138155657285,0.30735888084093616,2.244061040510897,0.6402306413567299
