region,group,sens,esp,ppv,npv
w214,C1,87.19424460431655,93.20251517779705,49.148418491484186,98.97536265254433
w214,C2,85.73743922204214,92.43173511072888,42.903487429034875,98.98687543172922
w214,C3,72.34678624813155,91.9027027027027,39.253852392538526,97.87013585079438
w214,C4,78.45303867403315,92.7678085916259,46.066504460665044,98.20400644715635
w214,C5,79.26634768740031,92.07920792079209,40.30819140308191,98.50333870596361
w214,C6,84.91171749598716,92.42685025817556,42.903487429034875,98.91779875661985
w214,C7,82.62839879154077,92.58939181160203,44.363341443633416,98.67603039373705
w214,C8,81.84438040345822,92.79132791327913,46.066504460665044,98.5493898227032
w214,C9,81.84480234260614,92.70246860112603,45.33657745336577,98.57241538107299
w214,C10,79.96870109546165,92.21982758620689,41.443633414436334,98.52636426433341
w214,C11,85.00749625187406,92.80155642023347,45.98540145985402,98.84872208151047
w214,C12,81.58253751705321,93.08730677117353,48.499594484995946,98.44577481003914
w214,C13,78.35616438356165,92.8066166068125,46.390916463909164,98.18098088878655
w214,C14,71.88811188811188,92.18817905258582,41.68694241686943,97.68593138383605
w214,C15,78.65853658536585,92.25952715103098,41.84914841849148,98.38821091411467
w214,C16,80.82975679542204,92.75488069414317,45.82319545823195,98.45728758922404
w214,C17,81.53153153153153,92.54295904031125,44.038929440389296,98.58392816025788
w214,C18,86.13333333333333,93.59799323808485,52.39253852392538,98.8026709647709
w214,C19,79.79942693409741,92.66890792755666,45.17437145174372,98.37669813492977
w214,C20,77.74607703281026,92.53634193968323,44.20113544201135,98.20400644715635
w214,C21,86.86514886164623,92.11596063329054,40.22708840227088,99.13654156113286
w214,C22,79.57142857142857,92.66731749647468,45.17437145174372,98.35367257655999
w214,C23,80.02717391304348,92.98704127191549,47.76966747769668,98.30762145982041
w214,C24,83.07475317348378,93.00760043431053,47.76966747769668,98.61846649781258
w214,C25,81.16591928251121,92.54054054054053,44.038929440389296,98.5493898227032
w214,MEAN,81.05733010481009,92.62706259568733,44.752635847526356,98.50886483997238
w214,SD,3.8614196362834705,0.3860591983839218,3.0754153819478613,0.3381459582114528
