region,group,sens,esp,ppv,npv
w32,C1,34.090909090909086,93.19499542264266,4.291845493562231,99.3709327548807
w32,C2,33.33333333333333,93.12094155844156,3.004291845493562,99.54446854663775
w32,C3,26.190476190476193,93.11642094560244,3.1473533619456364,99.32754880694144
w32,C4,19.41747572815534,93.08272208638957,2.8612303290414878,99.09978308026031
w32,C5,29.66101694915254,93.22518110396898,5.007153075822604,99.09978308026031
w32,C6,18.75,93.06729105161357,2.575107296137339,99.15401301518439
w32,C7,32.098765432098766,93.15917869485668,3.719599427753934,99.40347071583514
w32,C8,11.688311688311687,92.9892298313351,1.2875536480686696,99.26247288503254
w32,C9,28.71287128712871,93.17579955184355,4.148783977110158,99.21908893709328
w32,C10,18.27956989247312,93.05923061266029,2.432045779685265,99.17570498915401
w32,C11,29.906542056074763,93.2022013860579,4.57796852646638,99.18655097613883
w32,C12,26.25,93.1090557983535,3.004291845493562,99.36008676789588
w32,C13,24.8,93.17949765162345,4.434907010014307,98.98047722342733
w32,C14,18.478260869565215,93.05993690851734,2.432045779685265,99.18655097613883
w32,C15,25.37313432835821,93.07754770604953,2.432045779685265,99.45770065075922
w32,C16,21.052631578947366,93.03386736970188,1.7167381974248928,99.51193058568329
w32,C17,21.311475409836063,93.04118482450802,1.859799713876967,99.47939262472885
w32,C18,27.966101694915253,93.20477502295684,4.721030042918455,99.07809110629067
w32,C19,18.571428571428573,93.03482587064677,1.859799713876967,99.38177874186552
w32,C20,23.958333333333336,93.11819199837117,3.290414878397711,99.20824295010846
w32,C21,37.03703703703704,93.19983736531815,4.291845493562231,99.4468546637744
w32,C22,24.545454545454547,93.14914874095219,3.862660944206009,99.09978308026031
w32,C23,28.57142857142857,93.15221815221815,3.719599427753934,99.29501084598698
w32,C24,30.88235294117647,93.11745000507563,3.004291845493562,99.49023861171366
w32,C25,27.77777777777778,93.14274086885746,3.5765379113018603,99.29501084598698
w32,MEAN,25.54818753229488,93.12053882114249,3.2503576537911303,99.28459869848156
w32,SD,6.032565060821072,0.06422333245404656,1.0245974854700413,0.15690736092929597
